Year,Sex,States,Count,topicdesc,measuredesc,response,data_value,age_group
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,45 to 64
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,65+
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,45 to 64
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,65+
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,45 to 64
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,65+
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Status,Former,29.3,45 to 64
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Status,Former,29.3,65+
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),User Status,Not Current,88.5,45 to 64
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),User Status,Not Current,88.5,65+
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,45 to 64
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,65+
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),User Status,Current,11.5,45 to 64
2017,Male,Alabama,16,Smokeless Tobacco Use (Adults),User Status,Current,11.5,65+
2016,Male,Alabama,17,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.9,45 to 64
2016,Male,Alabama,34,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.9,65+
2016,Male,Alabama,17,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.9,45 to 64
2016,Male,Alabama,34,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.9,65+
2016,Male,Alabama,17,E-Cigarette Use (Adults),User Status,Current,6.5,45 to 64
2016,Male,Alabama,34,E-Cigarette Use (Adults),User Status,Current,6.5,65+
2016,Male,Alabama,17,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,45 to 64
2016,Male,Alabama,34,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,65+
2016,Male,Alabama,17,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.1,45 to 64
2016,Male,Alabama,34,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.1,65+
2016,Male,Alabama,17,E-Cigarette Use (Adults),User Status,Former,21.1,45 to 64
2016,Male,Alabama,34,E-Cigarette Use (Adults),User Status,Former,21.1,65+
2016,Male,Alabama,17,Cigarette Use (Adults),Smoking Status,Never,46.3,45 to 64
2016,Male,Alabama,34,Cigarette Use (Adults),Smoking Status,Never,46.3,65+
2016,Male,Alabama,17,E-Cigarette Use (Adults),User Status,Never,72.4,45 to 64
2016,Male,Alabama,34,E-Cigarette Use (Adults),User Status,Never,72.4,65+
2016,Male,Alabama,17,Cigarette Use (Adults),Smoking Status,Current,23.3,45 to 64
2016,Male,Alabama,34,Cigarette Use (Adults),Smoking Status,Current,23.3,65+
2016,Male,Alabama,17,Smokeless Tobacco Use (Adults),User Status,Current,10.5,45 to 64
2016,Male,Alabama,34,Smokeless Tobacco Use (Adults),User Status,Current,10.5,65+
2016,Male,Alabama,17,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,45 to 64
2016,Male,Alabama,34,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,65+
2016,Male,Alabama,17,Smokeless Tobacco Use (Adults),User Status,Not Current,89.5,45 to 64
2016,Male,Alabama,34,Smokeless Tobacco Use (Adults),User Status,Not Current,89.5,65+
2016,Male,Alabama,17,Cigarette Use (Adults),Smoking Status,Former,30.4,45 to 64
2016,Male,Alabama,34,Cigarette Use (Adults),Smoking Status,Former,30.4,65+
2016,Male,Alabama,17,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.1,45 to 64
2016,Male,Alabama,34,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.1,65+
2016,Female,Alabama,383,E-Cigarette Use (Adults),User Status,Never,78.2,25 to 44
2016,Female,Alabama,1601,E-Cigarette Use (Adults),User Status,Never,78.2,45 to 64
2016,Female,Alabama,1844,E-Cigarette Use (Adults),User Status,Never,78.2,65+
2016,Female,Alabama,383,Cigarette Use (Adults),Smoking Status,Never,62.1,25 to 44
2016,Female,Alabama,1601,Cigarette Use (Adults),Smoking Status,Never,62.1,45 to 64
2016,Female,Alabama,1844,Cigarette Use (Adults),Smoking Status,Never,62.1,65+
2016,Female,Alabama,383,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,25 to 44
2016,Female,Alabama,1601,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,45 to 64
2016,Female,Alabama,1844,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,65+
2016,Female,Alabama,383,Cigarette Use (Adults),Smoking Status,Current,20.0,25 to 44
2016,Female,Alabama,1601,Cigarette Use (Adults),Smoking Status,Current,20.0,45 to 64
2016,Female,Alabama,1844,Cigarette Use (Adults),Smoking Status,Current,20.0,65+
2016,Female,Alabama,383,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.6,25 to 44
2016,Female,Alabama,1601,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.6,45 to 64
2016,Female,Alabama,1844,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.6,65+
2016,Female,Alabama,383,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.4,25 to 44
2016,Female,Alabama,1601,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.4,45 to 64
2016,Female,Alabama,1844,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.4,65+
2016,Female,Alabama,383,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.9,25 to 44
2016,Female,Alabama,1601,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.9,45 to 64
2016,Female,Alabama,1844,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.9,65+
2016,Female,Alabama,383,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.1,25 to 44
2016,Female,Alabama,1601,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.1,45 to 64
2016,Female,Alabama,1844,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.1,65+
2016,Female,Alabama,383,Smokeless Tobacco Use (Adults),User Status,Current,1.2,25 to 44
2016,Female,Alabama,1601,Smokeless Tobacco Use (Adults),User Status,Current,1.2,45 to 64
2016,Female,Alabama,1844,Smokeless Tobacco Use (Adults),User Status,Current,1.2,65+
2016,Female,Alabama,383,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,25 to 44
2016,Female,Alabama,1601,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,45 to 64
2016,Female,Alabama,1844,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,65+
2016,Female,Alabama,383,E-Cigarette Use (Adults),User Status,Former,17.9,25 to 44
2016,Female,Alabama,1601,E-Cigarette Use (Adults),User Status,Former,17.9,45 to 64
2016,Female,Alabama,1844,E-Cigarette Use (Adults),User Status,Former,17.9,65+
2016,Female,Alabama,383,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,25 to 44
2016,Female,Alabama,1601,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,45 to 64
2016,Female,Alabama,1844,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,65+
2016,Female,Alabama,383,E-Cigarette Use (Adults),User Status,Current,3.9,25 to 44
2016,Female,Alabama,1601,E-Cigarette Use (Adults),User Status,Current,3.9,45 to 64
2016,Female,Alabama,1844,E-Cigarette Use (Adults),User Status,Current,3.9,65+
2016,Female,Alabama,383,Cigarette Use (Adults),Smoking Status,Former,17.9,25 to 44
2016,Female,Alabama,1601,Cigarette Use (Adults),Smoking Status,Former,17.9,45 to 64
2016,Female,Alabama,1844,Cigarette Use (Adults),Smoking Status,Former,17.9,65+
2015,Female,Alabama,349,Cigarette Use (Adults),Smoking Status,Former,18.6,25 to 44
2015,Female,Alabama,1717,Cigarette Use (Adults),Smoking Status,Former,18.6,45 to 64
2015,Female,Alabama,1772,Cigarette Use (Adults),Smoking Status,Former,18.6,65+
2015,Female,Alabama,349,Smokeless Tobacco Use (Adults),User Status,Current,1.5,25 to 44
2015,Female,Alabama,1717,Smokeless Tobacco Use (Adults),User Status,Current,1.5,45 to 64
2015,Female,Alabama,1772,Smokeless Tobacco Use (Adults),User Status,Current,1.5,65+
2015,Female,Alabama,349,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,25 to 44
2015,Female,Alabama,1717,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,45 to 64
2015,Female,Alabama,1772,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,65+
2015,Female,Alabama,349,Cigarette Use (Adults),Smoking Status,Current,19.2,25 to 44
2015,Female,Alabama,1717,Cigarette Use (Adults),Smoking Status,Current,19.2,45 to 64
2015,Female,Alabama,1772,Cigarette Use (Adults),Smoking Status,Current,19.2,65+
2015,Female,Alabama,349,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,25 to 44
2015,Female,Alabama,1717,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,45 to 64
2015,Female,Alabama,1772,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,65+
2015,Female,Alabama,349,Cigarette Use (Adults),Smoking Status,Never,62.2,25 to 44
2015,Female,Alabama,1717,Cigarette Use (Adults),Smoking Status,Never,62.2,45 to 64
2015,Female,Alabama,1772,Cigarette Use (Adults),Smoking Status,Never,62.2,65+
2015,Female,Alabama,349,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.6,25 to 44
2015,Female,Alabama,1717,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.6,45 to 64
2015,Female,Alabama,1772,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.6,65+
2015,Female,Alabama,349,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.4,25 to 44
2015,Female,Alabama,1717,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.4,45 to 64
2015,Female,Alabama,1772,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.4,65+
2015,Female,Alabama,349,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,25 to 44
2015,Female,Alabama,1717,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,45 to 64
2015,Female,Alabama,1772,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,65+
2015,Male,Alabama,0,Smokeless Tobacco Use (Adults),User Status,Current,11.1,25 to 44
2015,Male,Alabama,23,Smokeless Tobacco Use (Adults),User Status,Current,11.1,45 to 64
2015,Male,Alabama,27,Smokeless Tobacco Use (Adults),User Status,Current,11.1,65+
2015,Male,Alabama,0,Cigarette Use (Adults),Smoking Status,Former,27.6,25 to 44
2015,Male,Alabama,23,Cigarette Use (Adults),Smoking Status,Former,27.6,45 to 64
2015,Male,Alabama,27,Cigarette Use (Adults),Smoking Status,Former,27.6,65+
2015,Male,Alabama,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,61.3,25 to 44
2015,Male,Alabama,23,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,61.3,45 to 64
2015,Male,Alabama,27,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,61.3,65+
2015,Male,Alabama,0,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,25 to 44
2015,Male,Alabama,23,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,45 to 64
2015,Male,Alabama,27,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,65+
2015,Male,Alabama,0,Cigarette Use (Adults),Smoking Status,Current,23.8,25 to 44
2015,Male,Alabama,23,Cigarette Use (Adults),Smoking Status,Current,23.8,45 to 64
2015,Male,Alabama,27,Cigarette Use (Adults),Smoking Status,Current,23.8,65+
2015,Male,Alabama,0,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,25 to 44
2015,Male,Alabama,23,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,45 to 64
2015,Male,Alabama,27,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,65+
2015,Male,Alabama,0,Cigarette Use (Adults),Smoking Status,Never,48.6,25 to 44
2015,Male,Alabama,23,Cigarette Use (Adults),Smoking Status,Never,48.6,45 to 64
2015,Male,Alabama,27,Cigarette Use (Adults),Smoking Status,Never,48.6,65+
2015,Male,Alabama,0,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,25 to 44
2015,Male,Alabama,23,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,45 to 64
2015,Male,Alabama,27,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,65+
2015,Male,Alabama,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,38.7,25 to 44
2015,Male,Alabama,23,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,38.7,45 to 64
2015,Male,Alabama,27,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,38.7,65+
2014,Female,Alabama,359,Cigarette Use (Adults),Smoking Status,Never,61.6,25 to 44
2014,Female,Alabama,1683,Cigarette Use (Adults),Smoking Status,Never,61.6,45 to 64
2014,Female,Alabama,1676,Cigarette Use (Adults),Smoking Status,Never,61.6,65+
2014,Female,Alabama,359,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.0,25 to 44
2014,Female,Alabama,1683,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.0,45 to 64
2014,Female,Alabama,1676,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.0,65+
2014,Female,Alabama,359,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,25 to 44
2014,Female,Alabama,1683,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,45 to 64
2014,Female,Alabama,1676,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,65+
2014,Female,Alabama,359,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,54.0,25 to 44
2014,Female,Alabama,1683,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,54.0,45 to 64
2014,Female,Alabama,1676,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,54.0,65+
2014,Female,Alabama,359,Smokeless Tobacco Use (Adults),User Status,Current,1.0,25 to 44
2014,Female,Alabama,1683,Smokeless Tobacco Use (Adults),User Status,Current,1.0,45 to 64
2014,Female,Alabama,1676,Smokeless Tobacco Use (Adults),User Status,Current,1.0,65+
2014,Female,Alabama,359,Cigarette Use (Adults),Smoking Status,Former,19.4,25 to 44
2014,Female,Alabama,1683,Cigarette Use (Adults),Smoking Status,Former,19.4,45 to 64
2014,Female,Alabama,1676,Cigarette Use (Adults),Smoking Status,Former,19.4,65+
2014,Female,Alabama,359,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,25 to 44
2014,Female,Alabama,1683,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,45 to 64
2014,Female,Alabama,1676,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,65+
2014,Female,Alabama,359,Smokeless Tobacco Use (Adults),User Status,Not Current,99.0,25 to 44
2014,Female,Alabama,1683,Smokeless Tobacco Use (Adults),User Status,Not Current,99.0,45 to 64
2014,Female,Alabama,1676,Smokeless Tobacco Use (Adults),User Status,Not Current,99.0,65+
2014,Female,Alabama,359,Cigarette Use (Adults),Smoking Status,Current,19.0,25 to 44
2014,Female,Alabama,1683,Cigarette Use (Adults),Smoking Status,Current,19.0,45 to 64
2014,Female,Alabama,1676,Cigarette Use (Adults),Smoking Status,Current,19.0,65+
2014,Male,Alabama,19,Cigarette Use (Adults),Smoking Frequency,Some Days,29.0,45 to 64
2014,Male,Alabama,23,Cigarette Use (Adults),Smoking Frequency,Some Days,29.0,65+
2014,Male,Alabama,19,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,45 to 64
2014,Male,Alabama,23,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,65+
2014,Male,Alabama,19,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,45 to 64
2014,Male,Alabama,23,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,65+
2014,Male,Alabama,19,Cigarette Use (Adults),Smoking Status,Current,23.5,45 to 64
2014,Male,Alabama,23,Cigarette Use (Adults),Smoking Status,Current,23.5,65+
2014,Male,Alabama,19,Cigarette Use (Adults),Smoking Frequency,Every Day,71.0,45 to 64
2014,Male,Alabama,23,Cigarette Use (Adults),Smoking Frequency,Every Day,71.0,65+
2014,Male,Alabama,19,Cigarette Use (Adults),Smoking Status,Former,30.2,45 to 64
2014,Male,Alabama,23,Cigarette Use (Adults),Smoking Status,Former,30.2,65+
2014,Male,Alabama,19,Smokeless Tobacco Use (Adults),User Status,Current,11.1,45 to 64
2014,Male,Alabama,23,Smokeless Tobacco Use (Adults),User Status,Current,11.1,65+
2014,Male,Alabama,19,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,45 to 64
2014,Male,Alabama,23,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,65+
2014,Male,Alabama,19,Cigarette Use (Adults),Smoking Status,Never,46.3,45 to 64
2014,Male,Alabama,23,Cigarette Use (Adults),Smoking Status,Never,46.3,65+
2018,Female,Alaska,52,Cigarette Use (Adults),Smoking Frequency,Some Days,24.1,25 to 44
2018,Female,Alaska,235,Cigarette Use (Adults),Smoking Frequency,Some Days,24.1,45 to 64
2018,Female,Alaska,172,Cigarette Use (Adults),Smoking Frequency,Some Days,24.1,65+
2018,Female,Alaska,52,Cigarette Use (Adults),Smoking Status,Current,17.3,25 to 44
2018,Female,Alaska,235,Cigarette Use (Adults),Smoking Status,Current,17.3,45 to 64
2018,Female,Alaska,172,Cigarette Use (Adults),Smoking Status,Current,17.3,65+
2018,Female,Alaska,52,Smokeless Tobacco Use (Adults),User Status,Not Current,98.0,25 to 44
2018,Female,Alaska,235,Smokeless Tobacco Use (Adults),User Status,Not Current,98.0,45 to 64
2018,Female,Alaska,172,Smokeless Tobacco Use (Adults),User Status,Not Current,98.0,65+
2018,Female,Alaska,52,Cigarette Use (Adults),Smoking Status,Former,22.7,25 to 44
2018,Female,Alaska,235,Cigarette Use (Adults),Smoking Status,Former,22.7,45 to 64
2018,Female,Alaska,172,Cigarette Use (Adults),Smoking Status,Former,22.7,65+
2018,Female,Alaska,52,E-Cigarette Use (Adults),User Status,Current,4.5,25 to 44
2018,Female,Alaska,235,E-Cigarette Use (Adults),User Status,Current,4.5,45 to 64
2018,Female,Alaska,172,E-Cigarette Use (Adults),User Status,Current,4.5,65+
2018,Female,Alaska,52,Cigarette Use (Adults),Smoking Status,Never,60.0,25 to 44
2018,Female,Alaska,235,Cigarette Use (Adults),Smoking Status,Never,60.0,45 to 64
2018,Female,Alaska,172,Cigarette Use (Adults),Smoking Status,Never,60.0,65+
