,Year,States,Sex,Count,topicdesc,measuredesc,response,data_value,age_group
41,2018,Alabama,Female,1158,Cigarette Use (Adults),Smoking Status,Former,20.2,65+
45,2018,Alabama,Female,24,Cigarette Use (Adults),Smoking Frequency,Every Day,74.2,25 to 44
46,2018,Alabama,Female,569,Cigarette Use (Adults),Smoking Frequency,Every Day,74.2,45 to 64
47,2018,Alabama,Female,1158,Cigarette Use (Adults),Smoking Frequency,Every Day,74.2,65+
48,2018,Alabama,Female,24,Cigarette Use (Adults),Smoking Status,Current,17.3,25 to 44
49,2018,Alabama,Female,569,Cigarette Use (Adults),Smoking Status,Current,17.3,45 to 64
50,2018,Alabama,Female,1158,Cigarette Use (Adults),Smoking Status,Current,17.3,65+
51,2018,Alabama,Female,24,Cigarette Use (Adults),Smoking Status,Never,62.6,25 to 44
52,2018,Alabama,Female,569,Cigarette Use (Adults),Smoking Status,Never,62.6,45 to 64
53,2018,Alabama,Female,1158,Cigarette Use (Adults),Smoking Status,Never,62.6,65+
54,2017,Alabama,Female,20,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,69.0,25 to 44
55,2017,Alabama,Female,553,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,69.0,45 to 64
56,2017,Alabama,Female,1149,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,69.0,65+
57,2017,Alabama,Female,20,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,31.0,25 to 44
58,2017,Alabama,Female,553,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,31.0,45 to 64
59,2017,Alabama,Female,1149,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,31.0,65+
60,2017,Alabama,Female,20,Cigarette Use (Adults),Smoking Status,Former,18.1,25 to 44
61,2017,Alabama,Female,553,Cigarette Use (Adults),Smoking Status,Former,18.1,45 to 64
62,2017,Alabama,Female,1149,Cigarette Use (Adults),Smoking Status,Former,18.1,65+
63,2017,Alabama,Female,20,Smokeless Tobacco Use (Adults),User Status,Current,1.7,25 to 44
64,2017,Alabama,Female,553,Smokeless Tobacco Use (Adults),User Status,Current,1.7,45 to 64
65,2017,Alabama,Female,1149,Smokeless Tobacco Use (Adults),User Status,Current,1.7,65+
66,2017,Alabama,Female,20,E-Cigarette Use (Adults),User Status,Former,14.2,25 to 44
67,2017,Alabama,Female,553,E-Cigarette Use (Adults),User Status,Former,14.2,45 to 64
68,2017,Alabama,Female,1149,E-Cigarette Use (Adults),User Status,Former,14.2,65+
69,2017,Alabama,Female,20,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,25 to 44
70,2017,Alabama,Female,553,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,45 to 64
71,2017,Alabama,Female,1149,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,65+
72,2017,Alabama,Female,20,Cigarette Use (Adults),Smoking Frequency,Some Days,37.0,25 to 44
73,2017,Alabama,Female,553,Cigarette Use (Adults),Smoking Frequency,Some Days,37.0,45 to 64
74,2017,Alabama,Female,1149,Cigarette Use (Adults),Smoking Frequency,Some Days,37.0,65+
75,2017,Alabama,Female,20,Smokeless Tobacco Use (Adults),User Status,Not Current,98.3,25 to 44
76,2017,Alabama,Female,553,Smokeless Tobacco Use (Adults),User Status,Not Current,98.3,45 to 64
77,2017,Alabama,Female,1149,Smokeless Tobacco Use (Adults),User Status,Not Current,98.3,65+
78,2017,Alabama,Female,20,Cigarette Use (Adults),Smoking Status,Never,63.2,25 to 44
79,2017,Alabama,Female,553,Cigarette Use (Adults),Smoking Status,Never,63.2,45 to 64
80,2017,Alabama,Female,1149,Cigarette Use (Adults),Smoking Status,Never,63.2,65+
81,2017,Alabama,Female,20,E-Cigarette Use (Adults),User Status,Never,81.9,25 to 44
82,2017,Alabama,Female,553,E-Cigarette Use (Adults),User Status,Never,81.9,45 to 64
83,2017,Alabama,Female,1149,E-Cigarette Use (Adults),User Status,Never,81.9,65+
84,2017,Alabama,Female,20,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,25 to 44
85,2017,Alabama,Female,553,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,45 to 64
86,2017,Alabama,Female,1149,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,65+
87,2017,Alabama,Female,20,Cigarette Use (Adults),Smoking Frequency,Every Day,63.0,25 to 44
88,2017,Alabama,Female,553,Cigarette Use (Adults),Smoking Frequency,Every Day,63.0,45 to 64
89,2017,Alabama,Female,1149,Cigarette Use (Adults),Smoking Frequency,Every Day,63.0,65+
90,2017,Alabama,Female,20,E-Cigarette Use (Adults),User Status,Current,3.9,25 to 44
91,2017,Alabama,Female,553,E-Cigarette Use (Adults),User Status,Current,3.9,45 to 64
92,2017,Alabama,Female,1149,E-Cigarette Use (Adults),User Status,Current,3.9,65+
93,2017,Alabama,Female,20,Cigarette Use (Adults),Smoking Status,Current,18.7,25 to 44
94,2017,Alabama,Female,553,Cigarette Use (Adults),Smoking Status,Current,18.7,45 to 64
95,2017,Alabama,Female,1149,Cigarette Use (Adults),Smoking Status,Current,18.7,65+
96,2017,Alabama,Male,19,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.6,25 to 44
97,2017,Alabama,Male,769,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.6,45 to 64
98,2017,Alabama,Male,1451,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.6,65+
99,2017,Alabama,Male,19,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.4,25 to 44
100,2017,Alabama,Male,769,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.4,45 to 64
101,2017,Alabama,Male,1451,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.4,65+
102,2017,Alabama,Male,19,Cigarette Use (Adults),Smoking Status,Current,23.4,25 to 44
103,2017,Alabama,Male,769,Cigarette Use (Adults),Smoking Status,Current,23.4,45 to 64
104,2017,Alabama,Male,1451,Cigarette Use (Adults),Smoking Status,Current,23.4,65+
105,2017,Alabama,Male,19,E-Cigarette Use (Adults),User Status,Former,19.4,25 to 44
106,2017,Alabama,Male,769,E-Cigarette Use (Adults),User Status,Former,19.4,45 to 64
107,2017,Alabama,Male,1451,E-Cigarette Use (Adults),User Status,Former,19.4,65+
108,2017,Alabama,Male,19,E-Cigarette Use (Adults),User Status,Never,74.5,25 to 44
109,2017,Alabama,Male,769,E-Cigarette Use (Adults),User Status,Never,74.5,45 to 64
110,2017,Alabama,Male,1451,E-Cigarette Use (Adults),User Status,Never,74.5,65+
111,2017,Alabama,Male,19,Cigarette Use (Adults),Smoking Status,Never,47.3,25 to 44
112,2017,Alabama,Male,769,Cigarette Use (Adults),Smoking Status,Never,47.3,45 to 64
113,2017,Alabama,Male,1451,Cigarette Use (Adults),Smoking Status,Never,47.3,65+
114,2017,Alabama,Male,19,E-Cigarette Use (Adults),User Status,Current,6.1,25 to 44
115,2017,Alabama,Male,769,E-Cigarette Use (Adults),User Status,Current,6.1,45 to 64
116,2017,Alabama,Male,1451,E-Cigarette Use (Adults),User Status,Current,6.1,65+
117,2017,Alabama,Male,19,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,25 to 44
118,2017,Alabama,Male,769,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,45 to 64
119,2017,Alabama,Male,1451,Cigarette Use (Adults),Smoking Frequency,Every Day,67.6,65+
120,2017,Alabama,Male,19,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,25 to 44
121,2017,Alabama,Male,769,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,45 to 64
122,2017,Alabama,Male,1451,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,62.3,65+
123,2017,Alabama,Male,19,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,25 to 44
124,2017,Alabama,Male,769,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,45 to 64
125,2017,Alabama,Male,1451,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,37.7,65+
126,2017,Alabama,Male,19,Cigarette Use (Adults),Smoking Status,Former,29.3,25 to 44
127,2017,Alabama,Male,769,Cigarette Use (Adults),Smoking Status,Former,29.3,45 to 64
128,2017,Alabama,Male,1451,Cigarette Use (Adults),Smoking Status,Former,29.3,65+
129,2017,Alabama,Male,19,Smokeless Tobacco Use (Adults),User Status,Not Current,88.5,25 to 44
130,2017,Alabama,Male,769,Smokeless Tobacco Use (Adults),User Status,Not Current,88.5,45 to 64
131,2017,Alabama,Male,1451,Smokeless Tobacco Use (Adults),User Status,Not Current,88.5,65+
132,2017,Alabama,Male,19,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,25 to 44
133,2017,Alabama,Male,769,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,45 to 64
134,2017,Alabama,Male,1451,Cigarette Use (Adults),Smoking Frequency,Some Days,32.4,65+
135,2017,Alabama,Male,19,Smokeless Tobacco Use (Adults),User Status,Current,11.5,25 to 44
136,2017,Alabama,Male,769,Smokeless Tobacco Use (Adults),User Status,Current,11.5,45 to 64
137,2017,Alabama,Male,1451,Smokeless Tobacco Use (Adults),User Status,Current,11.5,65+
138,2016,Alabama,Male,18,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.9,25 to 44
139,2016,Alabama,Male,791,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.9,45 to 64
140,2016,Alabama,Male,1508,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.9,65+
141,2016,Alabama,Male,18,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.9,25 to 44
142,2016,Alabama,Male,791,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.9,45 to 64
143,2016,Alabama,Male,1508,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.9,65+
144,2016,Alabama,Male,18,E-Cigarette Use (Adults),User Status,Current,6.5,25 to 44
145,2016,Alabama,Male,791,E-Cigarette Use (Adults),User Status,Current,6.5,45 to 64
146,2016,Alabama,Male,1508,E-Cigarette Use (Adults),User Status,Current,6.5,65+
147,2016,Alabama,Male,18,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,25 to 44
148,2016,Alabama,Male,791,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,45 to 64
149,2016,Alabama,Male,1508,Cigarette Use (Adults),Smoking Frequency,Some Days,32.9,65+
150,2016,Alabama,Male,18,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.1,25 to 44
151,2016,Alabama,Male,791,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.1,45 to 64
152,2016,Alabama,Male,1508,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.1,65+
153,2016,Alabama,Male,18,E-Cigarette Use (Adults),User Status,Former,21.1,25 to 44
154,2016,Alabama,Male,791,E-Cigarette Use (Adults),User Status,Former,21.1,45 to 64
155,2016,Alabama,Male,1508,E-Cigarette Use (Adults),User Status,Former,21.1,65+
156,2016,Alabama,Male,18,Cigarette Use (Adults),Smoking Status,Never,46.3,25 to 44
157,2016,Alabama,Male,791,Cigarette Use (Adults),Smoking Status,Never,46.3,45 to 64
158,2016,Alabama,Male,1508,Cigarette Use (Adults),Smoking Status,Never,46.3,65+
159,2016,Alabama,Male,18,E-Cigarette Use (Adults),User Status,Never,72.4,25 to 44
160,2016,Alabama,Male,791,E-Cigarette Use (Adults),User Status,Never,72.4,45 to 64
161,2016,Alabama,Male,1508,E-Cigarette Use (Adults),User Status,Never,72.4,65+
162,2016,Alabama,Male,18,Cigarette Use (Adults),Smoking Status,Current,23.3,25 to 44
163,2016,Alabama,Male,791,Cigarette Use (Adults),Smoking Status,Current,23.3,45 to 64
164,2016,Alabama,Male,1508,Cigarette Use (Adults),Smoking Status,Current,23.3,65+
165,2016,Alabama,Male,18,Smokeless Tobacco Use (Adults),User Status,Current,10.5,25 to 44
166,2016,Alabama,Male,791,Smokeless Tobacco Use (Adults),User Status,Current,10.5,45 to 64
167,2016,Alabama,Male,1508,Smokeless Tobacco Use (Adults),User Status,Current,10.5,65+
168,2016,Alabama,Male,18,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,25 to 44
169,2016,Alabama,Male,791,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,45 to 64
170,2016,Alabama,Male,1508,Cigarette Use (Adults),Smoking Frequency,Every Day,67.1,65+
171,2016,Alabama,Male,18,Smokeless Tobacco Use (Adults),User Status,Not Current,89.5,25 to 44
172,2016,Alabama,Male,791,Smokeless Tobacco Use (Adults),User Status,Not Current,89.5,45 to 64
173,2016,Alabama,Male,1508,Smokeless Tobacco Use (Adults),User Status,Not Current,89.5,65+
174,2016,Alabama,Male,18,Cigarette Use (Adults),Smoking Status,Former,30.4,25 to 44
175,2016,Alabama,Male,791,Cigarette Use (Adults),Smoking Status,Former,30.4,45 to 64
176,2016,Alabama,Male,1508,Cigarette Use (Adults),Smoking Status,Former,30.4,65+
177,2016,Alabama,Male,18,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.1,25 to 44
178,2016,Alabama,Male,791,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.1,45 to 64
179,2016,Alabama,Male,1508,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.1,65+
180,2016,Alabama,Female,18,E-Cigarette Use (Adults),User Status,Never,78.2,25 to 44
181,2016,Alabama,Female,572,E-Cigarette Use (Adults),User Status,Never,78.2,45 to 64
182,2016,Alabama,Female,1117,E-Cigarette Use (Adults),User Status,Never,78.2,65+
183,2016,Alabama,Female,18,Cigarette Use (Adults),Smoking Status,Never,62.1,25 to 44
184,2016,Alabama,Female,572,Cigarette Use (Adults),Smoking Status,Never,62.1,45 to 64
185,2016,Alabama,Female,1117,Cigarette Use (Adults),Smoking Status,Never,62.1,65+
186,2016,Alabama,Female,18,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,25 to 44
187,2016,Alabama,Female,572,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,45 to 64
188,2016,Alabama,Female,1117,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,65+
189,2016,Alabama,Female,18,Cigarette Use (Adults),Smoking Status,Current,20.0,25 to 44
190,2016,Alabama,Female,572,Cigarette Use (Adults),Smoking Status,Current,20.0,45 to 64
191,2016,Alabama,Female,1117,Cigarette Use (Adults),Smoking Status,Current,20.0,65+
192,2016,Alabama,Female,18,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.6,25 to 44
193,2016,Alabama,Female,572,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.6,45 to 64
194,2016,Alabama,Female,1117,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.6,65+
195,2016,Alabama,Female,18,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.4,25 to 44
196,2016,Alabama,Female,572,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.4,45 to 64
197,2016,Alabama,Female,1117,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.4,65+
198,2016,Alabama,Female,18,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.9,25 to 44
199,2016,Alabama,Female,572,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.9,45 to 64
200,2016,Alabama,Female,1117,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.9,65+
201,2016,Alabama,Female,18,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.1,25 to 44
202,2016,Alabama,Female,572,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.1,45 to 64
203,2016,Alabama,Female,1117,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.1,65+
204,2016,Alabama,Female,18,Smokeless Tobacco Use (Adults),User Status,Current,1.2,25 to 44
205,2016,Alabama,Female,572,Smokeless Tobacco Use (Adults),User Status,Current,1.2,45 to 64
206,2016,Alabama,Female,1117,Smokeless Tobacco Use (Adults),User Status,Current,1.2,65+
207,2016,Alabama,Female,18,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,25 to 44
208,2016,Alabama,Female,572,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,45 to 64
209,2016,Alabama,Female,1117,Cigarette Use (Adults),Smoking Frequency,Every Day,70.0,65+
210,2016,Alabama,Female,18,E-Cigarette Use (Adults),User Status,Former,17.9,25 to 44
211,2016,Alabama,Female,572,E-Cigarette Use (Adults),User Status,Former,17.9,45 to 64
212,2016,Alabama,Female,1117,E-Cigarette Use (Adults),User Status,Former,17.9,65+
213,2016,Alabama,Female,18,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,25 to 44
214,2016,Alabama,Female,572,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,45 to 64
215,2016,Alabama,Female,1117,Cigarette Use (Adults),Smoking Frequency,Some Days,30.0,65+
216,2016,Alabama,Female,18,E-Cigarette Use (Adults),User Status,Current,3.9,25 to 44
217,2016,Alabama,Female,572,E-Cigarette Use (Adults),User Status,Current,3.9,45 to 64
218,2016,Alabama,Female,1117,E-Cigarette Use (Adults),User Status,Current,3.9,65+
219,2016,Alabama,Female,18,Cigarette Use (Adults),Smoking Status,Former,17.9,25 to 44
220,2016,Alabama,Female,572,Cigarette Use (Adults),Smoking Status,Former,17.9,45 to 64
221,2016,Alabama,Female,1117,Cigarette Use (Adults),Smoking Status,Former,17.9,65+
222,2015,Alabama,Female,19,Cigarette Use (Adults),Smoking Status,Former,18.6,25 to 44
223,2015,Alabama,Female,572,Cigarette Use (Adults),Smoking Status,Former,18.6,45 to 64
224,2015,Alabama,Female,1081,Cigarette Use (Adults),Smoking Status,Former,18.6,65+
225,2015,Alabama,Female,19,Smokeless Tobacco Use (Adults),User Status,Current,1.5,25 to 44
226,2015,Alabama,Female,572,Smokeless Tobacco Use (Adults),User Status,Current,1.5,45 to 64
227,2015,Alabama,Female,1081,Smokeless Tobacco Use (Adults),User Status,Current,1.5,65+
228,2015,Alabama,Female,19,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,25 to 44
229,2015,Alabama,Female,572,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,45 to 64
230,2015,Alabama,Female,1081,Cigarette Use (Adults),Smoking Frequency,Some Days,27.3,65+
231,2015,Alabama,Female,19,Cigarette Use (Adults),Smoking Status,Current,19.2,25 to 44
232,2015,Alabama,Female,572,Cigarette Use (Adults),Smoking Status,Current,19.2,45 to 64
233,2015,Alabama,Female,1081,Cigarette Use (Adults),Smoking Status,Current,19.2,65+
234,2015,Alabama,Female,19,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,25 to 44
235,2015,Alabama,Female,572,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,45 to 64
236,2015,Alabama,Female,1081,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,65+
237,2015,Alabama,Female,19,Cigarette Use (Adults),Smoking Status,Never,62.2,25 to 44
238,2015,Alabama,Female,572,Cigarette Use (Adults),Smoking Status,Never,62.2,45 to 64
239,2015,Alabama,Female,1081,Cigarette Use (Adults),Smoking Status,Never,62.2,65+
240,2015,Alabama,Female,19,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.6,25 to 44
241,2015,Alabama,Female,572,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.6,45 to 64
242,2015,Alabama,Female,1081,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.6,65+
243,2015,Alabama,Female,19,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.4,25 to 44
244,2015,Alabama,Female,572,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.4,45 to 64
245,2015,Alabama,Female,1081,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.4,65+
246,2015,Alabama,Female,19,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,25 to 44
247,2015,Alabama,Female,572,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,45 to 64
248,2015,Alabama,Female,1081,Cigarette Use (Adults),Smoking Frequency,Every Day,72.7,65+
249,2015,Alabama,Male,22,Smokeless Tobacco Use (Adults),User Status,Current,11.1,25 to 44
250,2015,Alabama,Male,767,Smokeless Tobacco Use (Adults),User Status,Current,11.1,45 to 64
251,2015,Alabama,Male,1481,Smokeless Tobacco Use (Adults),User Status,Current,11.1,65+
252,2015,Alabama,Male,22,Cigarette Use (Adults),Smoking Status,Former,27.6,25 to 44
253,2015,Alabama,Male,767,Cigarette Use (Adults),Smoking Status,Former,27.6,45 to 64
254,2015,Alabama,Male,1481,Cigarette Use (Adults),Smoking Status,Former,27.6,65+
255,2015,Alabama,Male,22,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,61.3,25 to 44
256,2015,Alabama,Male,767,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,61.3,45 to 64
257,2015,Alabama,Male,1481,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,61.3,65+
258,2015,Alabama,Male,22,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,25 to 44
259,2015,Alabama,Male,767,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,45 to 64
260,2015,Alabama,Male,1481,Smokeless Tobacco Use (Adults),User Status,Not Current,88.9,65+
261,2015,Alabama,Male,22,Cigarette Use (Adults),Smoking Status,Current,23.8,25 to 44
262,2015,Alabama,Male,767,Cigarette Use (Adults),Smoking Status,Current,23.8,45 to 64
263,2015,Alabama,Male,1481,Cigarette Use (Adults),Smoking Status,Current,23.8,65+
264,2015,Alabama,Male,22,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,25 to 44
265,2015,Alabama,Male,767,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,45 to 64
266,2015,Alabama,Male,1481,Cigarette Use (Adults),Smoking Frequency,Every Day,70.3,65+
267,2015,Alabama,Male,22,Cigarette Use (Adults),Smoking Status,Never,48.6,25 to 44
268,2015,Alabama,Male,767,Cigarette Use (Adults),Smoking Status,Never,48.6,45 to 64
269,2015,Alabama,Male,1481,Cigarette Use (Adults),Smoking Status,Never,48.6,65+
270,2015,Alabama,Male,22,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,25 to 44
271,2015,Alabama,Male,767,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,45 to 64
272,2015,Alabama,Male,1481,Cigarette Use (Adults),Smoking Frequency,Some Days,29.7,65+
273,2015,Alabama,Male,22,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,38.7,25 to 44
274,2015,Alabama,Male,767,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,38.7,45 to 64
275,2015,Alabama,Male,1481,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,38.7,65+
276,2014,Alabama,Female,0,Cigarette Use (Adults),Smoking Status,Never,61.6,25 to 44
277,2014,Alabama,Female,542,Cigarette Use (Adults),Smoking Status,Never,61.6,45 to 64
278,2014,Alabama,Female,1077,Cigarette Use (Adults),Smoking Status,Never,61.6,65+
279,2014,Alabama,Female,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.0,25 to 44
280,2014,Alabama,Female,542,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.0,45 to 64
281,2014,Alabama,Female,1077,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.0,65+
282,2014,Alabama,Female,0,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,25 to 44
283,2014,Alabama,Female,542,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,45 to 64
284,2014,Alabama,Female,1077,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,65+
285,2014,Alabama,Female,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,54.0,25 to 44
286,2014,Alabama,Female,542,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,54.0,45 to 64
287,2014,Alabama,Female,1077,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,54.0,65+
