Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Sex,Sex Code,Count,age_group
Breast,26000,Colorado,8,2015,2015,Male,M,0,25 to 44
Breast,26000,Colorado,8,2016,2016,Female,F,422,25 to 44
Breast,26000,Colorado,8,2016,2016,Male,M,0,25 to 44
Breast,26000,Colorado,8,2017,2017,Female,F,442,25 to 44
Breast,26000,Colorado,8,2017,2017,Male,M,0,25 to 44
Breast,26000,Colorado,8,2018,2018,Female,F,430,25 to 44
Breast,26000,Colorado,8,2018,2018,Male,M,0,25 to 44
Breast,26000,Connecticut,9,2014,2014,Female,F,325,25 to 44
Breast,26000,Connecticut,9,2014,2014,Male,M,0,25 to 44
Breast,26000,Connecticut,9,2015,2015,Female,F,292,25 to 44
Breast,26000,Connecticut,9,2015,2015,Male,M,0,25 to 44
Breast,26000,Connecticut,9,2016,2016,Female,F,286,25 to 44
Breast,26000,Connecticut,9,2016,2016,Male,M,0,25 to 44
Breast,26000,Connecticut,9,2017,2017,Female,F,274,25 to 44
Breast,26000,Connecticut,9,2017,2017,Male,M,0,25 to 44
Breast,26000,Connecticut,9,2018,2018,Female,F,282,25 to 44
Breast,26000,Connecticut,9,2018,2018,Male,M,0,25 to 44
Breast,26000,Delaware,10,2014,2014,Female,F,64,25 to 44
Breast,26000,Delaware,10,2014,2014,Male,M,0,25 to 44
Breast,26000,Delaware,10,2015,2015,Female,F,71,25 to 44
Breast,26000,Delaware,10,2015,2015,Male,M,0,25 to 44
Breast,26000,Delaware,10,2016,2016,Female,F,66,25 to 44
Breast,26000,Delaware,10,2016,2016,Male,M,0,25 to 44
Breast,26000,Delaware,10,2017,2017,Female,F,71,25 to 44
Breast,26000,Delaware,10,2017,2017,Male,M,0,25 to 44
Breast,26000,Delaware,10,2018,2018,Female,F,85,25 to 44
Breast,26000,Delaware,10,2018,2018,Male,M,0,25 to 44
Breast,26000,District of Columbia,11,2014,2014,Female,F,77,25 to 44
Breast,26000,District of Columbia,11,2014,2014,Male,M,0,25 to 44
Breast,26000,District of Columbia,11,2015,2015,Female,F,60,25 to 44
Breast,26000,District of Columbia,11,2015,2015,Male,M,0,25 to 44
Breast,26000,District of Columbia,11,2016,2016,Female,F,80,25 to 44
Breast,26000,District of Columbia,11,2016,2016,Male,M,0,25 to 44
Breast,26000,District of Columbia,11,2017,2017,Female,F,79,25 to 44
Breast,26000,District of Columbia,11,2017,2017,Male,M,0,25 to 44
Breast,26000,District of Columbia,11,2018,2018,Female,F,58,25 to 44
Breast,26000,District of Columbia,11,2018,2018,Male,M,0,25 to 44
Breast,26000,Florida,12,2014,2014,Female,F,1408,25 to 44
Breast,26000,Florida,12,2014,2014,Male,M,0,25 to 44
Breast,26000,Florida,12,2015,2015,Female,F,1488,25 to 44
Breast,26000,Florida,12,2015,2015,Male,M,0,25 to 44
Breast,26000,Florida,12,2016,2016,Female,F,1529,25 to 44
Breast,26000,Florida,12,2016,2016,Male,M,0,25 to 44
Breast,26000,Florida,12,2017,2017,Female,F,1406,25 to 44
Breast,26000,Florida,12,2017,2017,Male,M,0,25 to 44
Breast,26000,Florida,12,2018,2018,Female,F,1469,25 to 44
Breast,26000,Florida,12,2018,2018,Male,M,0,25 to 44
Breast,26000,Georgia,13,2014,2014,Female,F,853,25 to 44
Breast,26000,Georgia,13,2014,2014,Male,M,0,25 to 44
Breast,26000,Georgia,13,2015,2015,Female,F,830,25 to 44
Breast,26000,Georgia,13,2015,2015,Male,M,0,25 to 44
Breast,26000,Georgia,13,2016,2016,Female,F,852,25 to 44
Breast,26000,Georgia,13,2016,2016,Male,M,0,25 to 44
Breast,26000,Georgia,13,2017,2017,Female,F,832,25 to 44
Breast,26000,Georgia,13,2017,2017,Male,M,0,25 to 44
Breast,26000,Georgia,13,2018,2018,Female,F,823,25 to 44
Breast,26000,Georgia,13,2018,2018,Male,M,0,25 to 44
Breast,26000,Hawaii,15,2014,2014,Female,F,102,25 to 44
Breast,26000,Hawaii,15,2014,2014,Male,M,0,25 to 44
Breast,26000,Hawaii,15,2015,2015,Female,F,108,25 to 44
Breast,26000,Hawaii,15,2015,2015,Male,M,0,25 to 44
Breast,26000,Hawaii,15,2016,2016,Female,F,91,25 to 44
Breast,26000,Hawaii,15,2016,2016,Male,M,0,25 to 44
Breast,26000,Hawaii,15,2017,2017,Female,F,107,25 to 44
Breast,26000,Hawaii,15,2017,2017,Male,M,0,25 to 44
Breast,26000,Hawaii,15,2018,2018,Female,F,125,25 to 44
Breast,26000,Hawaii,15,2018,2018,Male,M,0,25 to 44
Breast,26000,Idaho,16,2014,2014,Female,F,124,25 to 44
Breast,26000,Idaho,16,2014,2014,Male,M,0,25 to 44
Breast,26000,Idaho,16,2015,2015,Female,F,101,25 to 44
Breast,26000,Idaho,16,2015,2015,Male,M,0,25 to 44
Breast,26000,Idaho,16,2016,2016,Female,F,95,25 to 44
Breast,26000,Idaho,16,2016,2016,Male,M,0,25 to 44
Breast,26000,Idaho,16,2017,2017,Female,F,141,25 to 44
Breast,26000,Idaho,16,2017,2017,Male,M,0,25 to 44
Breast,26000,Idaho,16,2018,2018,Female,F,129,25 to 44
Breast,26000,Idaho,16,2018,2018,Male,M,0,25 to 44
Breast,26000,Illinois,17,2014,2014,Female,F,1021,25 to 44
Breast,26000,Illinois,17,2014,2014,Male,M,0,25 to 44
Breast,26000,Illinois,17,2015,2015,Female,F,984,25 to 44
Breast,26000,Illinois,17,2015,2015,Male,M,0,25 to 44
Breast,26000,Illinois,17,2016,2016,Female,F,989,25 to 44
Breast,26000,Illinois,17,2016,2016,Male,M,0,25 to 44
Breast,26000,Illinois,17,2017,2017,Female,F,1020,25 to 44
Breast,26000,Illinois,17,2017,2017,Male,M,0,25 to 44
Breast,26000,Illinois,17,2018,2018,Female,F,1011,25 to 44
Breast,26000,Illinois,17,2018,2018,Male,M,0,25 to 44
Breast,26000,Indiana,18,2014,2014,Female,F,464,25 to 44
Breast,26000,Indiana,18,2014,2014,Male,M,0,25 to 44
Breast,26000,Indiana,18,2015,2015,Female,F,419,25 to 44
Breast,26000,Indiana,18,2015,2015,Male,M,0,25 to 44
Breast,26000,Indiana,18,2016,2016,Female,F,451,25 to 44
Breast,26000,Indiana,18,2016,2016,Male,M,0,25 to 44
Breast,26000,Indiana,18,2017,2017,Female,F,347,25 to 44
Breast,26000,Indiana,18,2017,2017,Male,M,0,25 to 44
Breast,26000,Indiana,18,2018,2018,Female,F,461,25 to 44
Breast,26000,Indiana,18,2018,2018,Male,M,0,25 to 44
Breast,26000,Iowa,19,2014,2014,Female,F,226,25 to 44
Breast,26000,Iowa,19,2014,2014,Male,M,0,25 to 44
Breast,26000,Iowa,19,2015,2015,Female,F,196,25 to 44
Breast,26000,Iowa,19,2015,2015,Male,M,0,25 to 44
Breast,26000,Iowa,19,2016,2016,Female,F,206,25 to 44
Breast,26000,Iowa,19,2016,2016,Male,M,0,25 to 44
Breast,26000,Iowa,19,2017,2017,Female,F,196,25 to 44
Breast,26000,Iowa,19,2017,2017,Male,M,0,25 to 44
Breast,26000,Iowa,19,2018,2018,Female,F,220,25 to 44
Breast,26000,Iowa,19,2018,2018,Male,M,0,25 to 44
Breast,26000,Kansas,20,2014,2014,Female,F,187,25 to 44
Breast,26000,Kansas,20,2014,2014,Male,M,0,25 to 44
Breast,26000,Kansas,20,2015,2015,Female,F,190,25 to 44
Breast,26000,Kansas,20,2015,2015,Male,M,0,25 to 44
Breast,26000,Kansas,20,2016,2016,Female,F,223,25 to 44
Breast,26000,Kansas,20,2016,2016,Male,M,0,25 to 44
Breast,26000,Kansas,20,2017,2017,Female,F,220,25 to 44
Breast,26000,Kansas,20,2017,2017,Male,M,0,25 to 44
Breast,26000,Kansas,20,2018,2018,Female,F,221,25 to 44
Breast,26000,Kansas,20,2018,2018,Male,M,0,25 to 44
Breast,26000,Kentucky,21,2014,2014,Female,F,327,25 to 44
Breast,26000,Kentucky,21,2014,2014,Male,M,0,25 to 44
Breast,26000,Kentucky,21,2015,2015,Female,F,318,25 to 44
Breast,26000,Kentucky,21,2015,2015,Male,M,0,25 to 44
Breast,26000,Kentucky,21,2016,2016,Female,F,329,25 to 44
Breast,26000,Kentucky,21,2016,2016,Male,M,0,25 to 44
Breast,26000,Kentucky,21,2017,2017,Female,F,315,25 to 44
Breast,26000,Kentucky,21,2017,2017,Male,M,0,25 to 44
Breast,26000,Kentucky,21,2018,2018,Female,F,309,25 to 44
Breast,26000,Kentucky,21,2018,2018,Male,M,0,25 to 44
Breast,26000,Louisiana,22,2014,2014,Female,F,306,25 to 44
Breast,26000,Louisiana,22,2014,2014,Male,M,0,25 to 44
Breast,26000,Louisiana,22,2015,2015,Female,F,328,25 to 44
Breast,26000,Louisiana,22,2015,2015,Male,M,0,25 to 44
Breast,26000,Louisiana,22,2016,2016,Female,F,335,25 to 44
Breast,26000,Louisiana,22,2016,2016,Male,M,0,25 to 44
Breast,26000,Louisiana,22,2017,2017,Female,F,367,25 to 44
Breast,26000,Louisiana,22,2017,2017,Male,M,0,25 to 44
Breast,26000,Louisiana,22,2018,2018,Female,F,347,25 to 44
Breast,26000,Louisiana,22,2018,2018,Male,M,0,25 to 44
Breast,26000,Maine,23,2014,2014,Female,F,99,25 to 44
Breast,26000,Maine,23,2014,2014,Male,M,0,25 to 44
Breast,26000,Maine,23,2015,2015,Female,F,108,25 to 44
Breast,26000,Maine,23,2015,2015,Male,M,0,25 to 44
Breast,26000,Maine,23,2016,2016,Female,F,93,25 to 44
Breast,26000,Maine,23,2016,2016,Male,M,0,25 to 44
Breast,26000,Maine,23,2017,2017,Female,F,84,25 to 44
Breast,26000,Maine,23,2017,2017,Male,M,0,25 to 44
Breast,26000,Maine,23,2018,2018,Female,F,89,25 to 44
Breast,26000,Maine,23,2018,2018,Male,M,0,25 to 44
Breast,26000,Maryland,24,2014,2014,Female,F,497,25 to 44
Breast,26000,Maryland,24,2014,2014,Male,M,0,25 to 44
Breast,26000,Maryland,24,2015,2015,Female,F,493,25 to 44
Breast,26000,Maryland,24,2015,2015,Male,M,0,25 to 44
Breast,26000,Maryland,24,2016,2016,Female,F,509,25 to 44
Breast,26000,Maryland,24,2016,2016,Male,M,0,25 to 44
Breast,26000,Maryland,24,2017,2017,Female,F,518,25 to 44
Breast,26000,Maryland,24,2017,2017,Male,M,0,25 to 44
Breast,26000,Maryland,24,2018,2018,Female,F,476,25 to 44
Breast,26000,Maryland,24,2018,2018,Male,M,0,25 to 44
Breast,26000,Massachusetts,25,2014,2014,Female,F,555,25 to 44
Breast,26000,Massachusetts,25,2014,2014,Male,M,0,25 to 44
Breast,26000,Massachusetts,25,2015,2015,Female,F,593,25 to 44
Breast,26000,Massachusetts,25,2015,2015,Male,M,0,25 to 44
Breast,26000,Massachusetts,25,2016,2016,Female,F,580,25 to 44
Breast,26000,Massachusetts,25,2016,2016,Male,M,0,25 to 44
Breast,26000,Massachusetts,25,2017,2017,Female,F,532,25 to 44
Breast,26000,Massachusetts,25,2017,2017,Male,M,0,25 to 44
Breast,26000,Massachusetts,25,2018,2018,Female,F,554,25 to 44
Breast,26000,Massachusetts,25,2018,2018,Male,M,0,25 to 44
Breast,26000,Michigan,26,2014,2014,Female,F,657,25 to 44
Breast,26000,Michigan,26,2014,2014,Male,M,0,25 to 44
Breast,26000,Michigan,26,2015,2015,Female,F,620,25 to 44
Breast,26000,Michigan,26,2015,2015,Male,M,0,25 to 44
Breast,26000,Michigan,26,2016,2016,Female,F,676,25 to 44
Breast,26000,Michigan,26,2016,2016,Male,M,0,25 to 44
Breast,26000,Michigan,26,2017,2017,Female,F,675,25 to 44
Breast,26000,Michigan,26,2017,2017,Male,M,0,25 to 44
Breast,26000,Michigan,26,2018,2018,Female,F,656,25 to 44
Breast,26000,Michigan,26,2018,2018,Male,M,0,25 to 44
Breast,26000,Minnesota,27,2014,2014,Female,F,391,25 to 44
Breast,26000,Minnesota,27,2014,2014,Male,M,0,25 to 44
Breast,26000,Minnesota,27,2015,2015,Female,F,418,25 to 44
Breast,26000,Minnesota,27,2015,2015,Male,M,0,25 to 44
Breast,26000,Minnesota,27,2016,2016,Female,F,368,25 to 44
Breast,26000,Minnesota,27,2016,2016,Male,M,0,25 to 44
Breast,26000,Minnesota,27,2017,2017,Female,F,407,25 to 44
Breast,26000,Minnesota,27,2017,2017,Male,M,0,25 to 44
Breast,26000,Minnesota,27,2018,2018,Female,F,432,25 to 44
Breast,26000,Minnesota,27,2018,2018,Male,M,0,25 to 44
Breast,26000,Mississippi,28,2014,2014,Female,F,210,25 to 44
Breast,26000,Mississippi,28,2014,2014,Male,M,0,25 to 44
Breast,26000,Mississippi,28,2015,2015,Female,F,201,25 to 44
Breast,26000,Mississippi,28,2015,2015,Male,M,0,25 to 44
Breast,26000,Mississippi,28,2016,2016,Female,F,215,25 to 44
Breast,26000,Mississippi,28,2016,2016,Male,M,0,25 to 44
Breast,26000,Mississippi,28,2017,2017,Female,F,207,25 to 44
Breast,26000,Mississippi,28,2017,2017,Male,M,0,25 to 44
Breast,26000,Mississippi,28,2018,2018,Female,F,216,25 to 44
Breast,26000,Mississippi,28,2018,2018,Male,M,0,25 to 44
Breast,26000,Missouri,29,2014,2014,Female,F,429,25 to 44
Breast,26000,Missouri,29,2014,2014,Male,M,0,25 to 44
Breast,26000,Missouri,29,2015,2015,Female,F,418,25 to 44
Breast,26000,Missouri,29,2015,2015,Male,M,0,25 to 44
Breast,26000,Missouri,29,2016,2016,Female,F,464,25 to 44
Breast,26000,Missouri,29,2016,2016,Male,M,0,25 to 44
Breast,26000,Missouri,29,2017,2017,Female,F,421,25 to 44
Breast,26000,Missouri,29,2017,2017,Male,M,0,25 to 44
Breast,26000,Missouri,29,2018,2018,Female,F,419,25 to 44
Breast,26000,Missouri,29,2018,2018,Male,M,0,25 to 44
Breast,26000,Montana,30,2014,2014,Female,F,59,25 to 44
Breast,26000,Montana,30,2014,2014,Male,M,0,25 to 44
Breast,26000,Montana,30,2015,2015,Female,F,68,25 to 44
Breast,26000,Montana,30,2015,2015,Male,M,0,25 to 44
Breast,26000,Montana,30,2016,2016,Female,F,62,25 to 44
Breast,26000,Montana,30,2016,2016,Male,M,0,25 to 44
Breast,26000,Montana,30,2017,2017,Female,F,74,25 to 44
Breast,26000,Montana,30,2017,2017,Male,M,0,25 to 44
Breast,26000,Montana,30,2018,2018,Female,F,81,25 to 44
Breast,26000,Montana,30,2018,2018,Male,M,0,25 to 44
Breast,26000,Nebraska,31,2014,2014,Female,F,115,25 to 44
Breast,26000,Nebraska,31,2014,2014,Male,M,0,25 to 44
Breast,26000,Nebraska,31,2015,2015,Female,F,132,25 to 44
Breast,26000,Nebraska,31,2015,2015,Male,M,0,25 to 44
Breast,26000,Nebraska,31,2016,2016,Female,F,123,25 to 44
Breast,26000,Nebraska,31,2016,2016,Male,M,0,25 to 44
Breast,26000,Nebraska,31,2017,2017,Female,F,135,25 to 44
Breast,26000,Nebraska,31,2017,2017,Male,M,0,25 to 44
Breast,26000,Nebraska,31,2018,2018,Female,F,141,25 to 44
Breast,26000,Nebraska,31,2018,2018,Male,M,0,25 to 44
Breast,26000,Nevada,32,2014,2014,Female,F,174,25 to 44
Breast,26000,Nevada,32,2014,2014,Male,M,0,25 to 44
Breast,26000,Nevada,32,2015,2015,Female,F,200,25 to 44
Breast,26000,Nevada,32,2015,2015,Male,M,0,25 to 44
Breast,26000,Nevada,32,2016,2016,Female,F,197,25 to 44
Breast,26000,Nevada,32,2016,2016,Male,M,0,25 to 44
Breast,26000,Nevada,32,2017,2017,Female,F,187,25 to 44
Breast,26000,Nevada,32,2017,2017,Male,M,0,25 to 44
Breast,26000,Nevada,32,2018,2018,Female,F,0,25 to 44
Breast,26000,Nevada,32,2018,2018,Male,M,0,25 to 44
Breast,26000,New Hampshire,33,2014,2014,Female,F,100,25 to 44
Breast,26000,New Hampshire,33,2014,2014,Male,M,0,25 to 44
Breast,26000,New Hampshire,33,2015,2015,Female,F,94,25 to 44
Breast,26000,New Hampshire,33,2015,2015,Male,M,0,25 to 44
Breast,26000,New Hampshire,33,2016,2016,Female,F,103,25 to 44
Breast,26000,New Hampshire,33,2016,2016,Male,M,0,25 to 44
Breast,26000,New Hampshire,33,2017,2017,Female,F,119,25 to 44
Breast,26000,New Hampshire,33,2017,2017,Male,M,0,25 to 44
Breast,26000,New Hampshire,33,2018,2018,Female,F,94,25 to 44
Breast,26000,New Hampshire,33,2018,2018,Male,M,0,25 to 44
Breast,26000,New Jersey,34,2014,2014,Female,F,783,25 to 44
Breast,26000,New Jersey,34,2014,2014,Male,M,0,25 to 44
Breast,26000,New Jersey,34,2015,2015,Female,F,741,25 to 44
Breast,26000,New Jersey,34,2015,2015,Male,M,0,25 to 44
Breast,26000,New Jersey,34,2016,2016,Female,F,722,25 to 44
Breast,26000,New Jersey,34,2016,2016,Male,M,0,25 to 44
Breast,26000,New Jersey,34,2017,2017,Female,F,746,25 to 44
Breast,26000,New Jersey,34,2017,2017,Male,M,0,25 to 44
Breast,26000,New Jersey,34,2018,2018,Female,F,752,25 to 44
Breast,26000,New Jersey,34,2018,2018,Male,M,0,25 to 44
Breast,26000,New Mexico,35,2014,2014,Female,F,120,25 to 44
Breast,26000,New Mexico,35,2014,2014,Male,M,0,25 to 44
Breast,26000,New Mexico,35,2015,2015,Female,F,110,25 to 44
Breast,26000,New Mexico,35,2015,2015,Male,M,0,25 to 44
Breast,26000,New Mexico,35,2016,2016,Female,F,116,25 to 44
Breast,26000,New Mexico,35,2016,2016,Male,M,0,25 to 44
Breast,26000,New Mexico,35,2017,2017,Female,F,116,25 to 44
Breast,26000,New Mexico,35,2017,2017,Male,M,0,25 to 44
Breast,26000,New Mexico,35,2018,2018,Female,F,106,25 to 44
Breast,26000,New Mexico,35,2018,2018,Male,M,0,25 to 44
Breast,26000,New York,36,2014,2014,Female,F,1688,25 to 44
Breast,26000,New York,36,2014,2014,Male,M,0,25 to 44
Breast,26000,New York,36,2015,2015,Female,F,1689,25 to 44
Breast,26000,New York,36,2015,2015,Male,M,0,25 to 44
Breast,26000,New York,36,2016,2016,Female,F,1576,25 to 44
Breast,26000,New York,36,2016,2016,Male,M,0,25 to 44
Breast,26000,New York,36,2017,2017,Female,F,1654,25 to 44
Breast,26000,New York,36,2017,2017,Male,M,0,25 to 44
Breast,26000,New York,36,2018,2018,Female,F,1743,25 to 44
Breast,26000,New York,36,2018,2018,Male,M,0,25 to 44
Breast,26000,North Carolina,37,2014,2014,Female,F,776,25 to 44
Breast,26000,North Carolina,37,2014,2014,Male,M,0,25 to 44
Breast,26000,North Carolina,37,2015,2015,Female,F,874,25 to 44
Breast,26000,North Carolina,37,2015,2015,Male,M,0,25 to 44
Breast,26000,North Carolina,37,2016,2016,Female,F,795,25 to 44
Breast,26000,North Carolina,37,2016,2016,Male,M,0,25 to 44
Breast,26000,North Carolina,37,2017,2017,Female,F,752,25 to 44
Breast,26000,North Carolina,37,2017,2017,Male,M,0,25 to 44
Breast,26000,North Carolina,37,2018,2018,Female,F,830,25 to 44
Breast,26000,North Carolina,37,2018,2018,Male,M,0,25 to 44
Breast,26000,North Dakota,38,2014,2014,Female,F,42,25 to 44
Breast,26000,North Dakota,38,2014,2014,Male,M,0,25 to 44
Breast,26000,North Dakota,38,2015,2015,Female,F,38,25 to 44
Breast,26000,North Dakota,38,2015,2015,Male,M,0,25 to 44
Breast,26000,North Dakota,38,2016,2016,Female,F,50,25 to 44
Breast,26000,North Dakota,38,2016,2016,Male,M,0,25 to 44
Breast,26000,North Dakota,38,2017,2017,Female,F,38,25 to 44
Breast,26000,North Dakota,38,2017,2017,Male,M,0,25 to 44
Breast,26000,North Dakota,38,2018,2018,Female,F,40,25 to 44
Breast,26000,North Dakota,38,2018,2018,Male,M,0,25 to 44
Breast,26000,Ohio,39,2014,2014,Female,F,807,25 to 44
Breast,26000,Ohio,39,2014,2014,Male,M,0,25 to 44
Breast,26000,Ohio,39,2015,2015,Female,F,802,25 to 44
Breast,26000,Ohio,39,2015,2015,Male,M,0,25 to 44
Breast,26000,Ohio,39,2016,2016,Female,F,774,25 to 44
Breast,26000,Ohio,39,2016,2016,Male,M,0,25 to 44
Breast,26000,Ohio,39,2017,2017,Female,F,806,25 to 44
Breast,26000,Ohio,39,2017,2017,Male,M,0,25 to 44
Breast,26000,Ohio,39,2018,2018,Female,F,788,25 to 44
Breast,26000,Ohio,39,2018,2018,Male,M,0,25 to 44
Breast,26000,Oklahoma,40,2014,2014,Female,F,246,25 to 44
Breast,26000,Oklahoma,40,2014,2014,Male,M,0,25 to 44
Breast,26000,Oklahoma,40,2015,2015,Female,F,254,25 to 44
Breast,26000,Oklahoma,40,2015,2015,Male,M,0,25 to 44
Breast,26000,Oklahoma,40,2016,2016,Female,F,244,25 to 44
Breast,26000,Oklahoma,40,2016,2016,Male,M,0,25 to 44
Breast,26000,Oklahoma,40,2017,2017,Female,F,252,25 to 44
Breast,26000,Oklahoma,40,2017,2017,Male,M,0,25 to 44
Breast,26000,Oklahoma,40,2018,2018,Female,F,269,25 to 44
Breast,26000,Oklahoma,40,2018,2018,Male,M,0,25 to 44
Breast,26000,Oregon,41,2014,2014,Female,F,247,25 to 44
Breast,26000,Oregon,41,2014,2014,Male,M,0,25 to 44
Breast,26000,Oregon,41,2015,2015,Female,F,279,25 to 44
Breast,26000,Oregon,41,2015,2015,Male,M,0,25 to 44
Breast,26000,Oregon,41,2016,2016,Female,F,273,25 to 44
Breast,26000,Oregon,41,2016,2016,Male,M,0,25 to 44
Breast,26000,Oregon,41,2017,2017,Female,F,313,25 to 44
Breast,26000,Oregon,41,2017,2017,Male,M,0,25 to 44
Breast,26000,Oregon,41,2018,2018,Female,F,301,25 to 44
Breast,26000,Oregon,41,2018,2018,Male,M,0,25 to 44
Breast,26000,Pennsylvania,42,2014,2014,Female,F,992,25 to 44
Breast,26000,Pennsylvania,42,2014,2014,Male,M,0,25 to 44
Breast,26000,Pennsylvania,42,2015,2015,Female,F,983,25 to 44
Breast,26000,Pennsylvania,42,2015,2015,Male,M,0,25 to 44
Breast,26000,Pennsylvania,42,2016,2016,Female,F,939,25 to 44
Breast,26000,Pennsylvania,42,2016,2016,Male,M,0,25 to 44
Breast,26000,Pennsylvania,42,2017,2017,Female,F,922,25 to 44
Breast,26000,Pennsylvania,42,2017,2017,Male,M,0,25 to 44
Breast,26000,Pennsylvania,42,2018,2018,Female,F,880,25 to 44
Breast,26000,Pennsylvania,42,2018,2018,Male,M,0,25 to 44
Breast,26000,Rhode Island,44,2014,2014,Female,F,86,25 to 44
Breast,26000,Rhode Island,44,2014,2014,Male,M,0,25 to 44
Breast,26000,Rhode Island,44,2015,2015,Female,F,76,25 to 44
Breast,26000,Rhode Island,44,2015,2015,Male,M,0,25 to 44
Breast,26000,Rhode Island,44,2016,2016,Female,F,79,25 to 44
Breast,26000,Rhode Island,44,2016,2016,Male,M,0,25 to 44
Breast,26000,Rhode Island,44,2017,2017,Female,F,66,25 to 44
Breast,26000,Rhode Island,44,2017,2017,Male,M,0,25 to 44
Breast,26000,Rhode Island,44,2018,2018,Female,F,85,25 to 44
Breast,26000,Rhode Island,44,2018,2018,Male,M,0,25 to 44
Breast,26000,South Carolina,45,2014,2014,Female,F,392,25 to 44
Breast,26000,South Carolina,45,2014,2014,Male,M,0,25 to 44
Breast,26000,South Carolina,45,2015,2015,Female,F,365,25 to 44
Breast,26000,South Carolina,45,2015,2015,Male,M,0,25 to 44
Breast,26000,South Carolina,45,2016,2016,Female,F,340,25 to 44
Breast,26000,South Carolina,45,2016,2016,Male,M,0,25 to 44
Breast,26000,South Carolina,45,2017,2017,Female,F,386,25 to 44
Breast,26000,South Carolina,45,2017,2017,Male,M,0,25 to 44
Breast,26000,South Carolina,45,2018,2018,Female,F,390,25 to 44
Breast,26000,South Carolina,45,2018,2018,Male,M,0,25 to 44
Breast,26000,South Dakota,46,2014,2014,Female,F,52,25 to 44
Breast,26000,South Dakota,46,2014,2014,Male,M,0,25 to 44
Breast,26000,South Dakota,46,2015,2015,Female,F,64,25 to 44
Breast,26000,South Dakota,46,2015,2015,Male,M,0,25 to 44
